start,startPosition,end,endPosition,frequency
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",91,"[129.300964355469, 144.774627685547, 166.904693603516]",3
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",92,"[128.704620361328, 133.460098266602, 168.202728271484]",3
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",93,"[133.421844482422, 121.468811035156, 172.495513916016]",1
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",94,"[139.751235961914, 109.109580993652, 176.829193115234]",1
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",95,"[142.112106323242, 98.2465896606445, 177.792465209961]",2
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",96,"[145.032943725586, 88.1519393920898, 178.122940063477]",3
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",99,"[121.933197021484, 140.269653320313, 171.596832275391]",1
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",101,"[130.231506347656, 114.29305267334, 183.052642822266]",1
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",102,"[135.048889160156, 103.178604125977, 186.348114013672]",6
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",103,"[138.054092407227, 90.9049072265625, 185.148300170898]",3
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",104,"[139.82746887207, 80.8504486083984, 184.762222290039]",5
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",11,"[138.115783691406, 166.815368652344, 110.192565917969]",2
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",12,"[142.168121337891, 181.290649414063, 112.606002807617]",2
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",13,"[141.510070800781, 183.282073974609, 121.512069702148]",2
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",19,"[134.525161743164, 137.630401611328, 79.4138793945313]",12
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",22,"[144.041473388672, 150.005645751953, 101.785850524902]",1
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",23,"[149.880966186523, 157.535461425781, 109.604438781738]",1
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",39,"[145.143127441406, 70.3753051757813, 155.929061889648]",1
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",55,"[158.1484375, 122.993423461914, 146.970474243164]",7
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",56,"[162.753692626953, 109.85758972168, 149.125045776367]",8
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",57,"[141.585845947266, 172.507766723633, 137.766143798828]",11
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",58,"[145.272644042969, 165.029968261719, 141.507080078125]",14
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",59,"[147.387954711914, 154.761169433594, 144.278991699219]",14
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",60,"[148.658752441406, 145.612274169922, 144.978363037109]",12
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",61,"[152.337371826172, 136.531280517578, 148.623443603516]",13
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",62,"[153.248168945313, 128.083526611328, 150.412384033203]",16
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",63,"[156.858428955078, 120.272644042969, 153.920471191406]",16
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",64,"[159.923980712891, 106.975082397461, 154.952331542969]",14
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",69,"[148.403366088867, 133.275024414063, 154.729370117188]",3
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",70,"[151.385025024414, 123.832473754883, 157.891616821289]",15
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",72,"[158.27294921875, 102.543960571289, 160.457229614258]",11
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",74,"[137.393859863281, 159.848663330078, 153.828704833984]",2
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",75,"[139.177734375, 150.923767089844, 155.853851318359]",1
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",76,"[142.160507202148, 142.335327148438, 158.860244750977]",1
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",77,"[143.384338378906, 133.111267089844, 160.524078369141]",8
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",78,"[147.340835571289, 121.565628051758, 163.375396728516]",14
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",79,"[152.297546386719, 110.439277648926, 165.796768188477]",12
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",80,"[154.009948730469, 99.6354827880859, 164.822769165039]",9
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",81,"[127.291488647461, 165.8056640625, 155.817199707031]",12
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",82,"[131.881317138672, 157.160125732422, 159.293716430664]",3
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",83,"[136.253372192383, 147.93034362793, 162.544525146484]",1
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",85,"[140.277969360352, 127.609336853027, 166.846221923828]",9
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",86,"[142.474761962891, 114.694999694824, 168.628967285156]",5
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",87,"[143.150955200195, 102.914924621582, 168.487869262695]",14
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",88,"[146.296234130859, 94.5201263427734, 169.774810791016]",10
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",89,"[123.24536895752, 163.177642822266, 160.847427368164]",8
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",90,"[126.428924560547, 153.634704589844, 163.887054443359]",2
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",91,"[129.300964355469, 144.774627685547, 166.904693603516]",1
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",92,"[128.704620361328, 133.460098266602, 168.202728271484]",1
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",93,"[133.421844482422, 121.468811035156, 172.495513916016]",1
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",94,"[139.751235961914, 109.109580993652, 176.829193115234]",3
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",95,"[142.112106323242, 98.2465896606445, 177.792465209961]",7
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",96,"[145.032943725586, 88.1519393920898, 178.122940063477]",4
